Community,Decades,Scenario,Month,Temp,TError,Precip,PError
Anchorage,2050-2059,rcp60,Apr,5.4,2.7,20.0,7.9
Anchorage,2050-2059,rcp85,Apr,6.3,2.4,21.0,8.6
Anchorage,2060-2069,rcp45,Apr,6.0,2.4,18.0,7.0
Anchorage,2060-2069,rcp60,Apr,5.8,2.6,23.0,9.9
Anchorage,2060-2069,rcp85,Apr,6.9,2.5,20.0,8.5
Anchorage,2070-2079,rcp45,Apr,5.6,2.6,19.0,7.0
Anchorage,2070-2079,rcp60,Apr,6.3,2.7,20.0,6.9
Anchorage,2070-2079,rcp85,Apr,6.9,2.9,21.0,9.7
Anchorage,2080-2089,rcp45,Apr,6.2,2.3,21.0,7.1
Anchorage,2080-2089,rcp60,Apr,6.6,2.2,20.0,8.3
Anchorage,2080-2089,rcp85,Apr,7.6,2.5,21.0,9.2
Anchorage,2090-2099,rcp45,Apr,6.4,2.6,20.0,8.8
Anchorage,2090-2099,rcp60,Apr,7.0,2.6,19.0,7.8
Anchorage,2090-2099,rcp85,Apr,8.2,3.2,23.0,9.8
Anchorage,1961-1990,cru32,Apr,2.0,1.8,16.0,11.0
Fairbanks,2010-2019,rcp45,Apr,0.4,2.7,9.0,5.4
Fairbanks,2010-2019,rcp60,Apr,0.8,2.5,8.0,4.0
Fairbanks,2010-2019,rcp85,Apr,0.6,2.8,8.0,4.6
Fairbanks,2020-2029,rcp45,Apr,1.2,2.7,9.0,5.3
Fairbanks,2020-2029,rcp60,Apr,1.3,2.3,8.0,4.2
Fairbanks,2020-2029,rcp85,Apr,0.9,2.9,8.0,4.1
Fairbanks,2030-2039,rcp45,Apr,1.5,3.0,9.0,4.7
Fairbanks,2030-2039,rcp60,Apr,1.5,2.7,9.0,4.5
Fairbanks,2030-2039,rcp85,Apr,1.6,3.2,9.0,4.7
Fairbanks,2040-2049,rcp45,Apr,2.0,2.8,9.0,5.2
Fairbanks,2040-2049,rcp60,Apr,1.3,2.7,12.0,4.9
Fairbanks,2040-2049,rcp85,Apr,2.2,3.0,11.0,4.8
Fairbanks,2050-2059,rcp45,Apr,2.5,3.0,9.0,4.9
Fairbanks,2050-2059,rcp60,Apr,2.5,3.1,9.0,5.7
Fairbanks,2050-2059,rcp85,Apr,3.2,2.9,12.0,5.6
Fairbanks,2060-2069,rcp45,Apr,2.9,3.0,9.0,4.9
Fairbanks,2060-2069,rcp60,Apr,2.7,3.1,11.0,4.5
Fairbanks,2060-2069,rcp85,Apr,3.7,2.8,11.0,5.4
Fairbanks,2070-2079,rcp45,Apr,2.3,3.1,9.0,5.3
Fairbanks,2070-2079,rcp60,Apr,2.9,3.0,9.0,5.6
Fairbanks,2070-2079,rcp85,Apr,3.8,3.5,13.0,5.4
Fairbanks,2080-2089,rcp45,Apr,3.0,2.9,12.0,5.5
Fairbanks,2080-2089,rcp60,Apr,3.6,2.4,11.0,5.5
